,filenanes,index,title
25,4/7/9/8/47983/47983-8.txt,47983,"Lumikenttien tytÃ_r, by Jack London"
26,1/2/8/8/12885/12885-0.txt,12885,"Bundling; Its Origin, Progress and Decline in America, Henry Reed Stiles"
27,3/9/7/6/39769/39769.txt,39769,"Ghosts I Have Seen, by Violet Tweedale"
28,7/3/5/7355/7355.txt,7355,"Texas, by William H. Wharton"
29,1/5/3/4/15348/15348.txt,15348,"Blown to Bits, by Robert Michael Ballantyne"
30,3/6/7/9/36799/36799.txt,36799,"History Of The Last Trial By Jury For Atheism In England,"
31,3/4/6/8/34682/34682.txt,34682,"The Secret Pact, by Mildred A. Wirt"
32,5/4/5/5451/5451.txt,5451,"An Egyptian Princess, Vol. 2, by Georg Ebers"
33,2/3/0/1/23011/23011.txt,23011,"Eatin' Crow; and The Best Man In Garotte, by Frank Harris"
34,1/4/4/9/14498/14498.txt,14498,"A Handbook to the Works of Browning (6th ed.), by Mrs. Sutherland Orr"
35,2/5/9/7/25974/25974.txt,25974,"God's Plan with Men, by T. T. (Thomas Theodore) Martin"
36,1/6/7/1/16714/16714.txt,16714,"Under Sealed Orders, by H.A. Cody"
37,3/7/5/7/37574/37574.txt,37574,"Great Inventions and Discoveries, by Willis Duff Piercy"
38,2/4/3/5/24359/24359.txt,24359,"The Return of Peter Grimm, by David Belasco"
39,1/1/9/1195/1195.txt,1195,"Glasses, by Henry James"
40,1/6/2/1625/1625.txt,1625,"The Frozen Deep, by Wilkie Collins"
41,3/2/1/4/32149/32149.txt,32149,"Unbegotten Child, by Winston Marks"
42,1/2/8/6/12862/12862.txt,12862,"Aldo le rimeur, by George Sand"
43,1/1/0/2/11029/11029.txt,11029,"American Hero-Myths, by Daniel G. Brinton"
44,2/2/0/5/22059/22059.txt,22059,"Balthasar, by Anatole France"
45,4/9/7/4974/4974.txt,4974,"Australia Twice Traversed, The Romance of Exploration, by Ernest Giles"
46,5/0/7/5071/5071.txt,5071,"The Philanderer, by George Bernard Shaw"
47,1/6/7/5/16756/16756.txt,16756,"The Bobbsey Twins at the County Fair, by Laura Lee Hope"
48,2/0/8/7/20870/20870.txt,20870,"The Motor Girls Through New England, by Margaret Penrose"
49,5/5/0/5509/5509.txt,5509,"Arachne, Vol. 2, by Georg Ebers"
50,4/8/7/9/48793/48793-0.txt,48793,"Bacteria, by George NewmanÂ Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â "
51,5/1/2/5/51258/51258.txt,51258,"A Bad Day for Vermin, by Keith LaumerÂ Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â "
52,1/7/5/4/17542/17542-0.txt,17542,"Ph?ssa, by Remy de Gourmont"
53,1/0/5/8/10586/10586.txt,10586,"Mike and Psmith, by P. G. Wodehouse"
54,1/2/1/0/12101/12101.txt,12101,"A Social History of the American Negro, by Benjamin Brawley"
55,3/0/3/1/30315/30315.txt,30315,"Raeburn, by James L. Caw"
56,2/8/4/2/28427/28427-8.txt,28427,"M?ires du prince de Talleyrand, Volume II (of V),"
57,3/1/9/8/31985/31985.txt,31985,"Perfect Control, by Richard Stockham"
58,1/1/2/4/11243/11243.txt,11243,"Miles Wallingford: Sequel to Afloat and Ashore, by James Fenimore Cooper"
59,1/5/1/9/15196/15196.txt,15196,"Punch, Vol. 103, September 10, 1892, ed. by Sir Francis Burnand"
60,3/2/5/0/32508/32508.txt,32508,"The Blind Lion of the Congo, by Elliott Whitney"
61,3/2/0/3/32031/32031.txt,32031,"A Raw Recruit's War Experiences, by Ansel D. Nickerson"
62,2/7/3/8/27381/27381-8.txt,27381,"Histoire du Consulat et de l'Empire, (Vol. 2 / 20), by Adolphe Thiers"
63,2/0/4/4/20449/20449.txt,20449,"The Plum Tree, by David Graham Phillips"
64,6/4/1/6419/6419.txt,6419,"U.S. Copyright Renewals, 1959, by U.S. Copyright Office"
65,1/2/2/0/12203/12203.txt,12203,"Odd Craft, Part 3: Blundell's Improvement, by W.W. Jacobs"
66,4/7/0/1/47016/47016.txt,47016,"Ainslee's magazine, Vol. 16, No. 2, September, 1905, by Various"
67,8/5/2/8521/8521.txt,8521,"Maintaining Health, by R. L. Alsaker"
68,4/4/5/8/44581/44581.txt,44581,"The Stoneground Ghost Tales, by E. G. Swain"
69,2/7/0/1/27016/27016-0.txt,27016,"Eight dwelling places of Buddhist immortals, by Five colors stone"
70,1/1/6/7/11676/11676.txt,11676,"The Balkan Wars: 1912-1913, by Jacob Gould Schurman"
71,1/3/9/5/13958/13958.txt,13958,"Authoritative Life of General William Booth, by George Scott Railton"
72,1/5/5/4/15541/15541.txt,15541,"What Two Children Did, by Charlotte E. Chittenden"
73,3/9/8/5/39851/39851.txt,39851,"Victorian Literature, by Clement K. Shorter"
74,1/3/8/3/13833/13833.txt,13833,"Blackfeet Indian Stories, by George Bird Grinnell"
75,1/9/3/3/19338/19338.txt,19338,"The Keeper, by Henry Beam Piper"
76,2/9/2/2926/2926.txt,2926,"A Critical Examination Of The Position Of Mr. Darwin's Work, ""On"
77,3/2/8/6/32863/32863.txt,32863,"Cottage Economy, by William Cobbett"
78,1/4/6/1463/1463.txt,1463,"The Private Papers of Henry Ryecroft, by George Gissing"
79,4/5/3/5/45350/45350.txt,45350,"Anno Domini 2071, by Pieter Harting"
80,4/9/2/7/49274/49274-0.txt,49274,"A Guide to the Exhibition of English Medals, by Herbert A. Grueber"
81,2/7/9/8/27982/27982.txt,27982,"The Ocean Waifs, by Mayne Reid"
82,1/6/9/3/16933/16933.txt,16933,"Joan of Arc, by Ronald Sutherland Gower"
83,1/4/8/3/14839/14839-8.txt,14839,"Filipinas Dentro De Cien Anos (Estudio Politico-Social), by Jose Rizal"
84,1/3/8/1/13812/13812.txt,13812,"Sir Mortimer, by Mary Johnston"
85,4/1/0/2/41021/41021.txt,41021,"Clara Vaughan, Volume II (of III), by R. D. Blackmore"
86,1/9/1/1911/1911.txt,1911,"Concerning Christian Liberty, by Martin Luther"
87,4/4/0/2/44027/44027.txt,44027,"The Expositor's Bible: The Psalms, Volume III, by Alexander Maclaren"
88,2/6/261/261.txt,261,"A Dome of Many-Coloured Glass, by Amy Lowell"
89,4/4/3/6/44369/44369.txt,44369,"Pals, by Joseph Bowes"
90,1/1/7/3/11730/11730.txt,11730,"With the Allies, by Richard Harding Davis"
91,4/9/3/9/49391/49391-8.txt,49391,"True Stories of The Great War, Vol. 4 of 6, by Various"
92,4/0/8/4081/4081.txt,4081,"The Alchemist, by Ben Jonson"
93,4/6/1/2/46127/46127.txt,46127,"The Motor Boys Over the Ocean, by Clarence Young"
94,3/8/3/0/38305/38305.txt,38305,"Endurance Test, by Alan Douglas"
95,5/4/545/545.txt,545,"At the Earth's Core, by Edgar Rice Burroughs"
96,3/7/0/6/37069/37069-0.txt,37069,"Das Tabu und die Ambivalenz der Gef?regungen, by Sigmund Freud"
97,4/7/5/1/47513/47513-0.txt,47513,"The Flea, by Harold Russell"
98,1/1/1/5/11157/11157.txt,11157,"The Atlantic Monthly, Vol. 8, No. 46, August, 1861, by Various"
99,1/5/2/1524/1524.txt,1524,"Hamlet, by William Shakespeare"
100,2/6/4/5/26455/26455.txt,26455,"A History of Lumsden's Battery, C.S.A., by George Little"
101,6/8/687/687.txt,687,"A Personal Record, by Joseph Conrad"
102,4/1/8/4/41847/41847.txt,41847,"Baseball Joe in the Central League, by Lester Chadwick"
103,2/5/4/0/25405/25405.txt,25405,"Honey-Bee, by Anatole France"
104,1/6/4/0/16403/16403.txt,16403,"Led Astray and The Sphinx, by Octave Feuillet"
105,8/0/0/8005/8005.txt,8005,"The Bible, King James, Numbers        Book  5[#25][bib05xxx.xxx]"
106,2/0/5/2059/2059.txt,2059,"The Little Shepherd of Kingdom Come, by John Fox"
107,3/3/6/3363/3363.txt,3363,"Fennel and Rue, by William Dean Howells"
108,2/7/5/2/27524/27524.txt,27524,"Hampton Court, by Walter Jerrold"
109,1/0/103/103.txt,103,"Around the World in 80 Days, by Jules Verne"
110,1/3/3/7/13370/13370.txt,13370,"Q. E. D., or New Light on the Doctrine of Creation, by Price"
111,4/8/6/5/48651/48651-0.txt,48651,"Viaje a America, Tomo 1 de 2, by Rafael Puig y VallsÂ Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â "
112,3/4/9/1/34919/34919.txt,34919,"Vision House, by C. N.  Williamson and A. M.  Williamson"
113,1/7/9/4/17942/17942-8.txt,17942,"Fables de La Fontaine, Tome Second, by Jean de La Fontaine"
114,1/3/3/4/13344/13344.txt,13344,"The Moral Picture Book, by Anonymous"
115,2/4/5/4/24548/24548.txt,24548,"""Shiloh"" as Seen by a Private Soldier, by Warren Olney"
116,4/8/7/5/48755/48755-8.txt,48755,"ElÃ_mÃ_stÃ_, by KÃ¶ssi Kaatra"
117,4/8/8/6/48860/48860-0.txt,48860,"The Brown Owl, by Ford H. Madox Hueffer"
118,1/4/4/1449/1449.txt,1449,"The Valley of the Moon, by Jack London"
119,2/6/4/3/26435/26435-8.txt,26435,"L'amant rendu cordelier a l'observance d'amour, by Martial d'Auvergne"
120,4/8/3/8/48389/48389.txt,48389,"Six Girls and the Tea Room, by Marion Ames Taggart"
121,2/8/7/8/28784/28784.txt,28784,"Letters to his mother, Ann Borrow, and Other Correspondents"
122,3/9/5/9/39590/39590-0.txt,39590,"Some Account of Llangollen and its Vicinity, by W. T. Simpson"
123,2/9/6/5/29658/29658.txt,29658,"Italy, the Magic Land, by Lilian Whiting"
124,3/1/3/0/31302/31302.txt,31302,"The Negro: what is His Ethnological Status? 2nd Ed.,"
125,7/8/3/7835/7835.txt,7835,"Lothair, by Benjamin Disraeli"
126,1/2/1/3/12137/12137.txt,12137,"La Legende des Siecles, by Victor Hugo"
127,2/8/5/7/28576/28576.txt,28576,"Cutting It out, by Samuel G. Blythe"
128,2/1/6/9/21695/21695.txt,21695,"Life in the Red Brigade, by R.M. Ballantyne"
129,4/6/3/2/46329/46329.txt,46329,"The Swamp Doctor's Adventures in The South-West, by John Robb"
130,3/6/5/3/36532/36532.txt,36532,"The Orange Fairy Book, by Various"
131,4/4/0/0/44004/44004.txt,44004,"Warren Commission Hearings (4 of 26), Vol. 4 of 15, by The"
132,1/3/1/2/13126/13126.txt,13126,"The King's Daughter and Other Stories for Girls, by Various"
133,4/6/6/8/46689/46689-0.txt,46689,"Burgundy: The Splendid Duchy, by Percy Allen"
134,3/4/2/6/34267/34267.txt,34267,"The Morality of Woman and Other Essays, by Ellen Key"
135,1/6/5/9/16594/16594.txt,16594,"A Short History of English Agriculture, by W. H. R. Curtler"
136,2/0/8/8/20885/20885.txt,20885,"The Promised Land, by Mary Antin"
137,2/1/7/1/21716/21716.txt,21716,"The Battery and the Boiler, by R.M. Ballantyne"
138,3/6/7/3677/3677.txt,3677,"On Our Selection, by Steele Rudd"
139,4/9/8/3/49830/49830.txt,49830,"Treasures in Heaven, by Various"
140,2/7/5/1/27511/27511.txt,27511,"The Free Range, by Elwell Lawrence"
141,5/0/0/4/50046/50046-0.txt,50046,"The Writings of Thomas Jefferson, Volume 2 of 9, by Thomas Jefferson"
142,3/0/6/3062/3062.txt,3062,"RÃ¶mische Geschichte, Band 3, by Theodor Mommsen"
143,6/2/6/6262/6262.txt,6262,"The Weavers,             by G. Parker, v2  [GP#89][gp89wxxx.xxx]"
144,2/5/9/2/25922/25922.txt,25922,"Masters of the Wheat-Lands, by Harold Bindloss"
145,1/8/1/5/18154/18154.txt,18154,"Calumet ""K"", by Samuel Merwin and Henry Kitchell Webster"
146,4/7/8/5/47858/47858-0.txt,47858,"The Islets of the Channel, by Walter Cooper Dendy"
147,1/6/7/6/16766/16766.txt,16766,"All on the Irish Shore, by E. Somerville and Martin Ross"
148,1/2/3/8/12388/12388.txt,12388,"The Courage of Captain Plum, by James Oliver Curwood"
149,4/9/3/4/49342/49342.txt,49342,"The Stickit Minister's Wooing, by S. R. Crockett"
150,2/3/6/4/23646/23646.txt,23646,"The Pharaoh and the Priest, by Boleslaw Prus"
151,2/6/4/0/26405/26405.txt,26405,"Penguin Persons & Peppermints, by Walter Prichard Eaton"
152,1/2/3/1/12312/12312.txt,12312,"A King, and No King, by Francis Beaumont and John Fletcher"
153,3/1/8/1/31812/31812-8.txt,31812,"Adlercreutzin sanansaattaja, by Jon Olof ?erg"
154,2/8/2/4/28248/28248.txt,28248,"The Testimony of the Rocks, by Hugh Miller"
155,2/8/4/7/28472/28472.txt,28472,"Patrician and Plebeian, by Thomas J. Wertenbaker"
156,4/7/478/478.txt,478,"The Cost, by David Graham Phillips"
157,1/0/8/4/10848/10848.txt,10848,"Natalie, by Ferna Vale"
158,3/0/7/0/30708/30708.txt,30708,"History of the Rise of the Huguenots, by Henry Baird"
159,6/8/0/6809/6809.txt,6809,"The Doctor's Daughter, by ""Vera"""
160,1/0/8/5/10850/10850.txt,10850,"Philaster, by Francis Beaumont and John Fletcher"
161,3/5/1/2/35127/35127.txt,35127,"Frank Merriwell's Return to Yale, by Burt L. Standish"
162,3/0/2/1/30213/30213-8.txt,30213,"Algo de todo, by Juan Valera"
163,3/2/3/8/32381/32381-8.txt,32381,"Christo n?volta, by Alberto Pimentel"
164,3/3/5/3/33533/33533.txt,33533,"The Convict's Farewell, by James Parkerson"
165,8/1/1/8112/8112.txt,8112,"Houses of Aborigines, by Lewis H. Morgan          [haborxxx.xxx]"
166,2/2/6/0/22602/22602.txt,22602,"Punch, Vol. 150, January 5, 1916, ed. by Sir Owen Seaman"
167,1/9/6/7/19676/19676.txt,19676,"Shakespeare and Music, by Edward W. Naylor"
168,3/2/5/4/32545/32545.txt,32545,"The Haunters of the Silences, by Charles G. D. Roberts"
169,4/0/9/0/40902/40902-8.txt,40902,Histoire amoureuse des Gaules suivie des Romans historico-
170,3/5/4/2/35424/35424.txt,35424,"The Amethyst Box, by Anna Katherine Green"
171,5/1/3/3/51339/51339-8.txt,51339,"HuutolaistyttÃ¶, by Heikki MerilÃ_inen"
172,4/8/3/6/48369/48369-8.txt,48369,"Veripunainen ruusu, by Marja Salmela"
173,2/3/3/4/23349/23349.txt,23349,"The Religious Experience of the Roman People, by W. Warde Fowler"
174,3/5/6/1/35610/35610.txt,35610,"McClure's Magazine, Vol. 1, No. 3, August, 1893, by Various"
175,4/7/7/7/47778/47778.txt,47778,"Battle of the Crater and Experiences of Prison Life,"
176,3/2/8/3286/3286.txt,3286,"Selections from the Speeches and Writings of Edmund Burke,"
177,5/1/6/9/51690/51690-0.txt,51690,"Elektitaj fabloj de J. de La Fontaine, by Jean de La Fontaine"
178,2/8/8/8/28887/28887.txt,28887,"The Boy Broker, by Frank A. Munsey"
179,5/0/6/8/50689/50689-8.txt,50689,"One in a Thousand, by George Payne Rainsford James"
180,3/4/3/7/34377/34377.txt,34377,The Preaching Tours and Missionary Labours of George M?r
181,3/6/0/0/36006/36006.txt,36006,"Diphtheria, by Public Health Service"
182,1/4/4/7/14476/14476.txt,14476,"Life of Robert Browning, by William Sharp"
183,2/4/6/3/24638/24638-8.txt,24638,"Kahdeksantoista runoniekkaa, by Various"
184,2/3/0/1/23013/23013.txt,23013,"""George Washington's"" Last Duel, by Thomas Nelson Page"
185,2/6/6/0/26600/26600.txt,26600,"Mother Earth, Vol. 1 No. 1, March 1906, ed. by Emma Goldman"
186,1/3/7/1/13710/13710.txt,13710,"Punch, Vol. 101, Sep. 12, 1891, ed. by Sir Francis Burnand"
187,3/7/4/7/37474/37474-8.txt,37474,"Yst?ni kertomus, by Mathilda Roos"
188,1/0/6/8/10688/10688.txt,10688,"The Campfire Girls at Camp Keewaydin, by Hildegard G. Frey"
189,1/0/3/1038/1038-0.txt,1038,"Style, by Walter Raleigh"
190,2/5/9/2592/2592-0.txt,2592,"The Small Catechism of Martin Luther, by Martin Luther"
191,1/6/8/6/16864/16864.txt,16864,"Service in the Hudson's Bay Territory, Vol. 2 (of 2), by John M'lean"
192,5/4/8/5487/5487.txt,5487,"The Emperor, Vol. 5, by Georg Ebers"
193,2/8/7/2874/2874.txt,2874,"Personal Recollections of Joan of Arc, Vol. 1, by Mark Twain"
194,2/6/8/1/26815/26815-8.txt,26815,"Le Roman d'un jeune homme pauvre (Novel), by Octave Feuillet"
195,4/1/6/1/41619/41619.txt,41619,"The Haunting of Low Fennel, by Sax Rohmer"
196,1/1/7/3/11739/11739.txt,11739,"Individualisme en socialisme, by Oscar Wilde"
197,3/1/9/7/31974/31974.txt,31974,"Last Days of the Rebellion, by Alanson M. Randol"
198,1/8/7/1872/1872.txt,1872,"The Red House Mystery, by A. A. Milne"
199,6/7/9/6790/6790.txt,6790,"Demetrius, by Frederich Schiller"
200,2/3/3/1/23310/23310.txt,23310,"Bird Stories and Dog Stories, by Anonymous"
201,7/3/8/7388/7388.txt,7388,"The Poetical Works of Oliver Wendell Holmes, Vol. 1, by Holmes, Sr."
202,2/2/5/0/22507/22507-8.txt,22507,"Romanzo d'una signorina per bene, by Anna Vertua Gentile"
203,4/1/8/4/41842/41842-0.txt,41842,"El aceite de olivas, by Alejandro Bizzarri"
204,1/4/8/0/14803/14803-0.txt,14803,"Journal des Goncourt (Deuxieme Volume), by Goncourt"
205,3/5/1/3/35139/35139.txt,35139,Manual for Noncommissioned Officers and Privates of
206,1/8/0/0/18004/18004.txt,18004,"Told in a French Garden, by Mildred Aldrich"
207,1/0/8/8/10880/10880.txt,10880,"Teddy's Button, by Amy Le Feuvre"
208,2/0/7/7/20776/20776.txt,20776,"Encyclopedia of Needlework, by Therese de Dillmont"
209,6/6/0/6604/6604.txt,6604,"Two Months in the Camp of Big Bear, by Theresa Gowanlock"
210,3/2/9/3/32935/32935.txt,32935,"What a Man Wills, by Mrs. George de Horne Vaizey"
211,2/4/6/0/24603/24603.txt,24603,"The House of Toys, by Henry Russell Miller"
212,6/0/4/6041/6041.txt,6041,"Stories by English Authors: The Sea, by Various   [seasexxx.xxx]"
213,2/3/2/6/23263/23263.txt,23263,"The Fugitives, by R.M. Ballantyne"
214,2/9/7/5/29756/29756.txt,29756,"The Cat of Bubastes, by G. A. Henty"
215,5/0/0/3/50038/50038-0.txt,50038,"The story of Hungary, by ÃÅrmin VÃ¡mbÃ©ry"
216,4/1/9/7/41973/41973.txt,41973,"Yachting Vol. 2, by R. T. Pritchett, Marquis Durrerin,"
217,4/9/6/9/49694/49694.txt,49694,"The Duke in the Suburbs, by Edgar Wallace"
218,2/4/6/7/24673/24673.txt,24673,"A Phenomenal Fauna, by Carolyn Wells"
219,1/7/1/1/17115/17115.txt,17115,"Fruits of Toil in the London Missionary Society, by Various"
220,2/7/1/0/27101/27101.txt,27101,"Life of Rear Admiral John Randolph Tucker, by James Henry Rochelle"
221,3/6/3/1/36311/36311-0.txt,36311,"The Problem of 'Edwin Drood', by W. Robertson Nicoll"
222,1/1/5/4/11549/11549.txt,11549,"The Life and Letters of Elizabeth Prentiss, by George L. Prentiss"
223,1/1/9/1191/1191.txt,1191,"The Double-Dealer, by William Congreve"
224,4/7/0/3/47034/47034-8.txt,47034,"Liukas-kielinen, by Friedrich von Schiller"
225,2/2/8/8/22881/22881.txt,22881,"My Friend Bobby, by Alan Edward Nourse"
226,1/8/9/1/18911/18911.txt,18911,"Biology, by Edmund Beecher Wilson"
227,3/5/1/9/35192/35192.txt,35192,"Kant und Goethe, by Georg Simmel"
228,4/6/6/0/46605/46605.txt,46605,"Thomas Otway, by Thomas Otway"
229,2/4/0/6/24061/24061.txt,24061,"Jimmy Crow, by Edith Francis Foster"
230,4/9/6/4/49646/49646-8.txt,49646,"Lauluja Anakreonilta, by Anacreon"
231,3/8/1/4/38146/38146.txt,38146,"Mr. Punch on the Warpath, by Various"
232,4/3/1/5/43150/43150.txt,43150,"The Constant Prince, by Christobel Coleridge"
233,3/5/5/8/35586/35586.txt,35586,"Reminiscences of a Canadian Pioneer for the last Fifty Years,"
234,2/4/0/2/24023/24023.txt,24023,"History of the United States, Volume 6 (of 6), by E. Benjamin Andrews"
235,6/6/2/6627/6627.txt,6627,"Barriers Burned Away, by E. P. Roe"
236,1/2/8/9/12896/12896.txt,12896,"Essays AEsthetical, by George Calvert"
237,4/0/3/9/40391/40391.txt,40391,"Der Dichter in Dollarica, by Ernst von Wolzogen"
238,4/6/3/4/46346/46346.txt,46346,"The History of Miss Betsy Thoughtless, by Eliza Haywood"
239,2/7/1/6/27161/27161.txt,27161,"'Our guy', by Mrs. E. E. Boyd"
240,5/2/0/1/52019/52019-8.txt,52019,"Ellen Levis, by Elsie SingmasterÂ Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â "
241,1/4/9/8/14985/14985.txt,14985,"Valere Aude, by Louis Dechmann"
242,5/1/6/1/51610/51610.txt,51610,"Solid Solution, by James Stamers"
243,4/3/7/9/43792/43792.txt,43792,"The History of Modern Painting, Volume 1 (of 4), by Richard Muther"
244,1/8/7/7/18773/18773-8.txt,18773,"La San-Felice, Tome V, by Alexandre Dumas"
245,7/5/8/7587/7587.txt,7587,"The Caxtons,     by E. B. Lytton, Part 2   [BL#16][b016wxxx.xxx]"
246,3/0/9/0/30901/30901.txt,30901,"Fee of the Frontier, by Horace Brown Fyfe"
247,2/1/7/8/21784/21784.txt,21784,"The Goblins' Christmas, by Elizabeth Anderson"
248,1/3/3/1335/1335.txt,1335,"The Ancien Regime, by Charles Kingsley"
249,3/2/7/3273/3273.txt,3273,"The Complete Works of Artemus Ward, Part 3"
250,6/8/7/6873/6873.txt,6873,"Mark Twain, by Archibald Henderson"
251,2/9/4/5/29455/29455.txt,29455,"Invasion, by William Fitzgerald Jenkins"
252,1/5/4/4/15442/15442.txt,15442,"Punch, Vol. 101, October 31, 1891, ed. by Sir Francis Burnand"
253,5/3/0/5305/5305-0.txt,5305,"Travels in the Interior of Africa, Vol. 2 of 2, by Mungo Park"
254,2/1/7/5/21758/21758.txt,21758,"Hudson Bay, by R.M. Ballantyne"
255,9/8/4/9848/9848.txt,9848,"A Select Collection of Old English Plays, Vol. VI, by Robert Dodsley"
256,2/1/8/7/21872/21872.txt,21872,"The Life of David, by Alexander Maclaren"
257,4/6/9/4698/4698.txt,4698,"Whitefoot the Wood Mouse, by Thornton W. Burgess"
258,1/2/0/1/12018/12018.txt,12018,"Notes & Queries, No. 17, 1850.02.23, by Various"
259,2/2/6/5/22652/22652.txt,22652,"A Campfire Girl's Test of Friendship, by Jane L. Stewart"
260,2/5/2/6/25267/25267.txt,25267,"Astronomy for Amateurs, by Camille Flammarion"
261,5/0/4/8/50481/50481-8.txt,50481,"Koditon, by Hector Malot"
262,3/6/4/3/36433/36433.txt,36433,"Chronicles of the Schonberg-Cotta Family, by Elizabeth Rundle Charles"
263,3/8/9/7/38975/38975-8.txt,38975,"Karl Marx en zijne voorgangers, by Jos. Loopuit"
264,3/5/8/8/35883/35883.txt,35883,"War Inconsistent with the Religion of Jesus Christ, by David Low Dodge"
265,6/4/7/6471/6471.txt,6471,"Children of the New Forest, by Capt. Marryat"
266,2/6/4/9/26495/26495.txt,26495,"A System of Logic, Ratiocinative and Inductive, by John Stuart Mill"
267,2/7/2/5/27256/27256.txt,27256,"A Pioneer Railway of the West, by Maude Ward Lafferty"
268,1/5/2/7/15279/15279.txt,15279,"A Letter Addressed to the Abbe Raynal, by Thomas Paine"
269,1/3/1/6/13168/13168.txt,13168,"Dick in the Everglades, by A. W. Dimock"
270,1/5/4/6/15465/15465.txt,15465,"Parisian Points of View, by Ludovic Hal?"
271,4/1/0/7/41070/41070-8.txt,41070,"The Works of Hubert Howe Bancroft, Volume 1, by Hubert Howe Bancroft"
272,4/4/6/8/44689/44689-8.txt,44689,"Histoire de la Monarchie de Juillet, Volume 6 de 7,"
273,3/3/5/0/33504/33504.txt,33504,"Opticks, by Isaac Newton"
274,4/5/3/3/45331/45331.txt,45331,"The Library of Work and Play: Electricity and Its Everyday Uses,"
275,3/9/6/9/39699/39699-0.txt,39699,"Magyar n?allad?(Magyar remekir?5. k?), by S?or Endrodi"
276,6/1/6/6168/6168.txt,6168,"Fifty Famous People, by James Baldwin             [fftyfxxx.xxx]"
277,4/1/8/0/41802/41802.txt,41802,"Frank in the Mountains, by Harry Castlemon"
278,3/8/7/4/38745/38745.txt,38745,"The Little Gleaner, Vol. X., by Various"
279,4/6/2/4/46243/46243.txt,46243,"Divine Authority, by Orson Pratt"
280,3/2/8/2/32821/32821.txt,32821,"The Picturesque Antiquities of Spain, by Nathaniel Armstrong Wells"
281,4/2/4/2/42426/42426.txt,42426,"Gold Elsie, by E. Marlitt"
282,4/6/0/3/46032/46032.txt,46032,"Vitus Bering: the Discoverer of Bering Strait, by Peter Lauridsen"
283,4/5/7/1/45713/45713-0.txt,45713,"Aspazio, by Aleksander Swietochowski"
284,2/4/8/8/24886/24886.txt,24886,"Account of the Foxglove and some of its Medical Uses, William Withering"
285,1/8/8/1881/1881.txt,1881,"The Call of the Canyon, by Zane Grey"
